original,new_name
chameleon_timestamp,chameleon_timestamp
chameleon_follow,chameleon_follow_stu
treatment_end,treatment_end_stu
treatment_end_2,treatment_end_2_stu
visit_date,visit_date_stu
chameleon_ideation,chameleon_ideation_stu
chameleon_behavior,chameleon_behavior_stu
chameleon_attempt,chameleon_attempt_stu
chameleon_nssi,chameleon_nssi_stu
chameleon_suicide_er,chameleon_suicide_er_stu
chameleon_suicide_er_date,chameleon_suicide_er_date_stu
chameleon_suicide_er_date_2,chameleon_suicide_er_date_2_stu
chameleon_suicide_er_date_3,chameleon_suicide_er_date_3_stu
chameleon_psychiatric,chameleon_psychiatric_stu
chameleon_psychiatric_date,chameleon_psychiatric_date_stu
chameleon_psychiatric_date_2,chameleon_psychiatric_date_2_stu
chameleon_psychiatric_date_3,chameleon_psychiatric_date_3_stu
emergency,emergency_stu
chameleon_psychotherapy,chameleon_psychotherapy_stu
chameleon_psychotherapy_2___1,chameleon_psychotherapy_2_stu___1
chameleon_psychotherapy_2___2,chameleon_psychotherapy_2_stu___2
chameleon_psychotherapy_2___3,chameleon_psychotherapy_2_stu___3
chameleon_psychotherapy_2___4,chameleon_psychotherapy_2_stu___4
chameleon_psychotherapy_2___5,chameleon_psychotherapy_2_stu___5
chameleon_psychotherapy_2___6,chameleon_psychotherapy_2_stu___6
chameleon_psychotherapy_2___7,chameleon_psychotherapy_2_stu___7
chameleon_psychotherapy_other,chameleon_psychotherapy_other_stu
chameleon_medicine,chameleon_medicine_stu
chameleon_medicine_2___1,chameleon_medicine_2_stu___1
chameleon_medicine_2___2,chameleon_medicine_2_stu___2
chameleon_medicine_2___3,chameleon_medicine_2_stu___3
chameleon_medicine_2___4,chameleon_medicine_2_stu___4
chameleon_medicine_2___5,chameleon_medicine_2_stu___5
chameleon_medicine_other,chameleon_medicine_other_stu
chameleon_notes,chameleon_notes_stu
chameleon_complete,chameleon_complete
trqsfmaris_timestamp,trqsfmaris_stu_timestamp
trq_sf_maris_1,trq_sf_maris_1_stu
trq_sf_maris_2,trq_sf_maris_2_stu
trq_sf_maris_3,trq_sf_maris_3_stu
trq_sf_maris_4,trq_sf_maris_4_stu
trq_sf_maris_5,trq_sf_maris_5_stu
trq_sf_maris_6,trq_sf_maris_6_stu
trq_sf_maris_7,trq_sf_maris_7_stu
trq_sf_maris_8,trq_sf_maris_8_stu
trq_sf_maris_9,trq_sf_maris_9_stu
trq_sf_maris_10,trq_sf_maris_10_stu
trq_sf_maris_11,trq_sf_maris_11_stu
trq_sf_maris_12,trq_sf_maris_12_stu
trq_sf_maris_13,trq_sf_maris_13_stu
trq_sf_maris_14,trq_sf_maris_14_stu
trqsfmaris_complete,trqsfmaris_stu_complete
cgi_s_timestamp,cgi_s_stu_timestamp
cgi_s_base,cgi_s_base_stu
cgi_s_complete,cgi_s_stu_complete
cgi_s,cgi_s_base_stu
remote_timestamp,remote_stu_timestamp
remote_1,remote_1_stu
remote_complete,remote_stu_complete
cps_timestamp,cps_stu_timestamp
cps_1,cps_1_stu
cps_2,cps_2_stu
cps_complete,cps_stu_complete
sci_c_timestamp,sci_c_stu_timestamp
sci_c_1_1,sci_c_1_1_stu
scs_2_1,scs_2_1_stu
scs_2_2,scs_2_2_stu
scs_2_3,scs_2_3_stu
scs_2_4,scs_2_4_stu
sci_c_3_1,sci_c_3_1_stu
sci_c_3_2,sci_c_3_2_stu
sci_c_3_3,sci_c_3_3_stu
sci_c_3_4,sci_c_3_4_stu
sci_c_4_1,sci_c_4_1_stu
sci_c_4_2,sci_c_4_2_stu
sci_c_4_3,sci_c_4_3_stu
sci_c_4_4,sci_c_4_4_stu
sci_c_5_1,sci_c_5_1_stu
sci_c_5_2,sci_c_5_2_stu
sci_c_complete,sci_c_stu_complete
cssrs_t_timestamp,cssrs_t_stu_timestamp
c_ssrs_t_time,c_ssrs_t_time_stu
c_ssrs_t_2weeks_1,c_ssrs_t_2weeks_1_stu
c_ssrs_t_2weeks_2,c_ssrs_t_2weeks_2_stu
c_ssrs_t_2weeks_3,c_ssrs_t_2weeks_3_stu
c_ssrs_t_2weeks_4,c_ssrs_t_2weeks_4_stu
c_ssrs_t_2weeks_5,c_ssrs_t_2weeks_5_stu
c_ssrs_t_last_1,c_ssrs_t_last_1_stu
c_ssrs_t_last_2,c_ssrs_t_last_2_stu
c_ssrs_t_last_3,c_ssrs_t_last_3_stu
c_ssrs_t_last_4,c_ssrs_t_last_4_stu
c_ssrs_t_last_5,c_ssrs_t_last_5_stu
c_ssrs_t_life_1,c_ssrs_t_life_1_stu
c_ssrs_t_life_2,c_ssrs_t_life_2_stu
c_ssrs_t_life_3,c_ssrs_t_life_3_stu
c_ssrs_t_life_4,c_ssrs_t_life_4_stu
c_ssrs_t_life_5,c_ssrs_t_life_5_stu
c_ssrs_t_6,c_ssrs_t_6_stu
c_ssrs_t_7,c_ssrs_t_7_stu
c_ssrs_t_8,c_ssrs_t_8_stu
c_ssrs_t_9,c_ssrs_t_9_stu
c_ssrs_t_10,c_ssrs_t_10_stu
c_ssrs_t_11_2weeks,c_ssrs_t_11_2weeks_stu
c_ssrs_t_12_2weeks,c_ssrs_t_12_2weeks_stu
c_ssrs_t_13_2weeks,c_ssrs_t_13_2weeks_stu
c_ssrs_t_14_2weeks,c_ssrs_t_14_2weeks_stu
c_ssrs_t_15_2weeks,c_ssrs_t_15_2weeks_stu
c_ssrs_t_16_2weeks,c_ssrs_t_16_2weeks_stu
suicidal_behavior_last_11,suicidal_behavior_last_11_stu
suicidal_behavior_last_12,suicidal_behavior_last_12_stu
suicidal_behavior_last_13,suicidal_behavior_last_13_stu
suicidal_behavior_last_14,suicidal_behavior_last_14_stu
suicidal_behavior_last_15,suicidal_behavior_last_15_stu
suicidal_behavior_last_16,suicidal_behavior_last_16_stu
c_ssrs_t_11_life,c_ssrs_t_11_life_stu
c_ssrs_t_12_life,c_ssrs_t_12_life_stu
c_ssrs_t_13_life,c_ssrs_t_13_life_stu
c_ssrs_t_14_life,c_ssrs_t_14_life_stu
c_ssrs_t_15_life,c_ssrs_t_15_life_stu
c_ssrs_t_16_life,c_ssrs_t_16_life_stu
cssrs_t_complete,cssrs_t_stu_complete
who,who_stu
who_other,who_other_stu
name,name_stu
opening_clinicians_complete,opening_clinicians_complete
wai_immirisk_timestamp,wai_immirisk_clin_timestamp
wai_t_immi_1,wai_t_immi_1_clin
wai_t_immi_2,wai_t_immi_2_clin
wai_t_immi_3,wai_t_immi_3_clin
wai_t_immi_4,wai_t_immi_4_clin
wai_t_immi_5,wai_t_immi_5_clin
wai_t_immi_6,wai_t_immi_6_clin
wai_t_immi_7,wai_t_immi_7_clin
wai_t_immi_8,wai_t_immi_8_clin
wai_t_immi_9,wai_t_immi_9_clin
wai_t_immi_10,wai_t_immi_10_clin
wai_t_immi_11,wai_t_immi_11_clin
wai_t_immi_12,wai_t_immi_12_clin
wai_immirisk_complete,wai_immirisk_clin_complete
marisyscars_timestamp,marisyscars_clin_timestamp
maris_y_scars_1,maris_y_scars_1_clin
maris_y_scars_2,maris_y_scars_2_clin
maris_y_scars_3,maris_y_scars_3_clin
maris_y_scars_4,maris_y_scars_4_clin
maris_y_scars_5,maris_y_scars_5_clin
maris_y_scars_6,maris_y_scars_6_clin
maris_y_scars_7,maris_y_scars_7_clin
maris_y_scars_8,maris_y_scars_8_clin
marisyscars_complete,marisyscars_clin_complete
trq_sf_maris_1,trq_sf_maris_1_clin
trq_sf_maris_2,trq_sf_maris_2_clin
trq_sf_maris_3,trq_sf_maris_3_clin
trq_sf_maris_4,trq_sf_maris_4_clin
trq_sf_maris_5,trq_sf_maris_5_clin
trq_sf_maris_6,trq_sf_maris_6_clin
trq_sf_maris_7,trq_sf_maris_7_clin
trq_sf_maris_8,trq_sf_maris_8_clin
trq_sf_maris_9,trq_sf_maris_9_clin
trq_sf_maris_10,trq_sf_maris_10_clin
trq_sf_maris_11,trq_sf_maris_11_clin
trq_sf_maris_12,trq_sf_maris_12_clin
trq_sf_maris_13,trq_sf_maris_13_clin
trq_sf_maris_14,trq_sf_maris_14_clin
cgi_s_timestamp,cgi_s_clin_timestamp
cgi_s_base,cgi_s_base_clin
cgi_s_complete,cgi_s_clin_complete
opening_therapist_battery_timestamp,opening_therapist_battery_timestamp
time,time_clin
parents_safety_plan,parents_safety_plan_clin
safety_plan,safety_plan_clin
safety_plan_changed,safety_plan_changed_clin
cgi_s,cgi_s_clin
cgi_i,cgi_i_clin
wai_t_1,wai_t_1_clin
wai_t_2,wai_t_2_clin
wai_t_3,wai_t_3_clin
wai_t_4,wai_t_4_clin
wai_t_5,wai_t_5_clin
wai_t_6,wai_t_6_clin
wai_t_7,wai_t_7_clin
wai_t_8,wai_t_8_clin
wai_t_9,wai_t_9_clin
wai_t_10,wai_t_10_clin
wai_t_11,wai_t_11_clin
wai_t_12,wai_t_12_clin
opening_therapist_battery_complete,opening_therapist_battery_complete
remote_timestamp,remote_clin_timestamp
remote_1,remote_1_clin
remote_complete,remote_clin_complete
cps_timestamp,cps_clin_timestamp
cps_1,cps_1_clin
cps_2,cps_2_clin
cps_complete,cps_clin_complete
er_questionnaire_timestamp,er_questionnaire_clin_timestamp
er_name,er_name_clin
er_date_of_birth,er_date_of_birth_clin
er_id,er_id_clin
er_arrival,er_arrival_clin
er_reason,er_reason_clin
er_attemp_time,er_attemp_time_clin
er_planned,er_planned_clin
er_regret,er_regret_clin
er_cut_first,er_cut_first_clin
er_thoughts,er_thoughts_clin
er_worst_thoughts,er_worst_thoughts_clin
er_thoughts_now,er_thoughts_now_clin
er_medicine,er_medicine_clin
er_medicine_what,er_medicine_what_clin
er_medicine_mg,er_medicine_mg_clin
er_questionnaire_complete,er_questionnaire_clin_complete
sci_c_timestamp,sci_c_clin_timestamp
sci_c_1_1,sci_c_1_1_clin
scs_2_1,scs_2_1_clin
scs_2_2,scs_2_2_clin
scs_2_3,scs_2_3_clin
scs_2_4,scs_2_4_clin
sci_c_3_1,sci_c_3_1_clin
sci_c_3_2,sci_c_3_2_clin
sci_c_3_3,sci_c_3_3_clin
sci_c_3_4,sci_c_3_4_clin
sci_c_4_1,sci_c_4_1_clin
sci_c_4_2,sci_c_4_2_clin
sci_c_4_3,sci_c_4_3_clin
sci_c_4_4,sci_c_4_4_clin
sci_c_5_1,sci_c_5_1_clin
sci_c_5_2,sci_c_5_2_clin
sci_c_complete,sci_c_clin_complete
cdrsr_timestamp,cdrsr_clin_timestamp
cdrs_impaired_schoolwork,cdrs_impaired_schoolwork_clin
cdrs_difficulty_having_fun,cdrs_difficulty_having_fun_clin
sdrs_social_withdrawal,sdrs_social_withdrawal_clin
cdrs_sleep_disturbance,cdrs_sleep_disturbance_clin
cdrs_sleep_disturbance_2,cdrs_sleep_disturbance_2_clin
cdrs_appetite_disturbance,cdrs_appetite_disturbance_clin
cdrs_appetite_disturbance_2,cdrs_appetite_disturbance_2_clin
cdrs_excessive_fatigue,cdrs_excessive_fatigue_clin
cdrs_physical_complaints,cdrs_physical_complaints_clin
sdrs_irritability,sdrs_irritability_clin
cdrs_excessive_guilt,cdrs_excessive_guilt_clin
cdrs_low_self_esteem,cdrs_low_self_esteem_clin
cdrs_depressed_feelings,cdrs_depressed_feelings_clin
cdrs_morbid_ideation,cdrs_morbid_ideation_clin
cdrs_suicidal_ideation,cdrs_suicidal_ideation_clin
cdrs_excessive_weeping,cdrs_excessive_weeping_clin
cdrs_depressed_facial_affect,cdrs_depressed_facial_affect_clin
cdrs_listless_speech,cdrs_listless_speech_clin
cdrs_hypoactivity,cdrs_hypoactivity_clin
cdrs_sum,cdrs_sum_clin
cdrsr_complete,cdrsr_clin_complete
suicide_form_timestamp,suicide_form_clin_timestamp
suiciform_time,suiciform_time_clin
medhis_1,medhis_1_clin
medhis_1_1,medhis_1_1_clin
medhis_2,medhis_2_clin
medhis_2_1,medhis_2_1_clin
medhis_3,medhis_3_clin
medhis_3_1,medhis_3_1_clin
medhis_4,medhis_4_clin
medhis_4_1,medhis_4_1_clin
medhis_5,medhis_5_clin
medhis_5_1,medhis_5_1_clin
medhis_6,medhis_6_clin
medhis_6_1,medhis_6_1_clin
medhis_7,medhis_7_clin
medhis_7_1,medhis_7_1_clin
medhis_8,medhis_8_clin
medhis_8_1,medhis_8_1_clin
medhis_9,medhis_9_clin
medhis_9_1,medhis_9_1_clin
medhis_10,medhis_10_clin
medhis_10_1,medhis_10_1_clin
medhis_11,medhis_11_clin
medhis_11_1,medhis_11_1_clin
medhis_12,medhis_12_clin
medhis_12_1,medhis_12_1_clin
medhis_13,medhis_13_clin
medhis_13_1,medhis_13_1_clin
medhis_details,medhis_details_clin
diet_1,diet_1_clin
diet_1_1,diet_1_1_clin
diet_2,diet_2_clin
diet_2_1,diet_2_1_clin
diet_3,diet_3_clin
diet_3_1,diet_3_1_clin
diet_4,diet_4_clin
diet_4_1,diet_4_1_clin
diet_5,diet_5_clin
diet_5_1,diet_5_1_clin
medhis,medhis_clin
inclusion_1,inclusion_1_clin
inclusion_2,inclusion_2_clin
exclusion_1,exclusion_1_clin
exclusion_2,exclusion_2_clin
exclusion_3,exclusion_3_clin
exclusion_4,exclusion_4_clin
exclusion_5,exclusion_5_clin
exclusion_6,exclusion_6_clin
week_1,week_1_clin
week_1_1,week_1_1_clin
week_2,week_2_clin
week_2_1,week_2_1_clin
week_3,week_3_clin
week_medic,week_medic_clin
three_mon_1,three_mon_1_clin
three_mon_1_1,three_mon_1_1_clin
three_mon_2,three_mon_2_clin
three_mon_2_1,three_mon_2_1_clin
three_mon_3,three_mon_3_clin
three_mon_medic,three_mon_medic_clin
six_mon_1,six_mon_1_clin
six_mon_1_1,six_mon_1_1_clin
six_mon_2,six_mon_2_clin
six_mon_2_1,six_mon_2_1_clin
six_mon_3,six_mon_3_clin
six_mon_medic,six_mon_medic_clin
twelve_mon_1,twelve_mon_1_clin
twelve_mon_1_1,twelve_mon_1_1_clin
twelve_mon_2,twelve_mon_2_clin
twelve_mon_2_1,twelve_mon_2_1_clin
twelve_mon_3,twelve_mon_3_clin
twelve_mon_medic,twelve_mon_medic_clin
suicide_form_complete,suicide_form_clin_complete
mini_kid_sum_timestamp,mini_kid_sum_clin_timestamp
mini_class,mini_class_clin
mini_date,mini_date_clin
mini_interviewer,mini_interviewer_clin
mini_date_interview,mini_date_interview_clin
mini_medication___1,mini_medication_clin___1
mini_medication___2,mini_medication_clin___2
mini_medication___3,mini_medication_clin___3
mini_medication___4,mini_medication_clin___4
mini_medication___5,mini_medication_clin___5
mini_medicine_other,mini_medicine_other_clin
mini_start_time,mini_start_time_clin
mini_end_time,mini_end_time_clin
mini_total_time,mini_total_time_clin
depres___1,depres_clin___1
depres___2,depres_clin___2
depres___3,depres_clin___3
suicide___1,suicide_clin___1
suicide___2,suicide_clin___2
suicide_risk,suicide_risk_clin
dysthemia___1,dysthemia_clin___1
manic___1,manic_clin___1
manic___2,manic_clin___2
hypomania___1,hypomania_clin___1
hypomania___2,hypomania_clin___2
bipolar_i___1,bipolar_i_clin___1
bipolar_i___2,bipolar_i_clin___2
bipolar_ii___1,bipolar_ii_clin___1
bipolar_ii___2,bipolar_ii_clin___2
bipolar_unclassified___1,bipolar_unclassified_clin___1
bipolar_unclassified___2,bipolar_unclassified_clin___2
panic___1,panic_clin___1
panic___2,panic_clin___2
agoraphobia___1,agoraphobia_clin___1
separation_anxiety___1,separation_anxiety_clin___1
social_anxiety___1,social_anxiety_clin___1
social_anxiety___2,social_anxiety_clin___2
social_anxiety___3,social_anxiety_clin___3
phobia___1,phobia_clin___1
ocd___1,ocd_clin___1
ptsd___1,ptsd_clin___1
alcohol_depend___1,alcohol_depend_clin___1
alcohol_use___1,alcohol_use_clin___1
drug_depend___1,drug_depend_clin___1
drug_use___1,drug_use_clin___1
tourette___1,tourette_clin___1
motor_tics___1,motor_tics_clin___1
vocal_tics___1,vocal_tics_clin___1
transient_tics___1,transient_tics_clin___1
adhd_mix___1,adhd_mix_clin___1
adhd_attention___1,adhd_attention_clin___1
adhd_hyper___1,adhd_hyper_clin___1
conduct___1,conduct_clin___1
odd___1,odd_clin___1
psychotic___1,psychotic_clin___1
psychotic___2,psychotic_clin___2
affect_psychotic___1,affect_psychotic_clin___1
affect_psychotic___2,affect_psychotic_clin___2
anorexia___1,anorexia_clin___1
bulimia___1,bulimia_clin___1
anorexia_bulmus___1,anorexia_bulmus_clin___1
gad___1,gad_clin___1
adjustment___1,adjustment_clin___1
organic,organic_clin
development___1,development_clin___1
main_dianose,main_dianose_clin
mini_kid_sum_complete,mini_kid_sum_clin_complete
cssrs_fw_maya_timestamp,cssrs_fw_maya_timestamp
c_ssrs_fu_thought_1,c_ssrs_fu_thought_1_clin
c_ssrs_fu_thought_2,c_ssrs_fu_thought_2_clin
c_ssrs_fu_thought_3,c_ssrs_fu_thought_3_clin
c_ssrs_fu_thought_4,c_ssrs_fu_thought_4_clin
c_ssrs_fu_thought_5,c_ssrs_fu_thought_5_clin
c_ssrs_fu_intensity,c_ssrs_fu_intensity_clin
c_ssrs_fu_frequ,c_ssrs_fu_frequ_clin
c_ssrs_fu_lengh,c_ssrs_fu_lengh_clin
c_ssrs_fu_control,c_ssrs_fu_control_clin
c_ssrs_fu_deter,c_ssrs_fu_deter_clin
c_ssrs_fu_reason,c_ssrs_fu_reason_clin
c_ssrs_fu_attemp,c_ssrs_fu_attemp_clin
c_ssrs_fu_attemp_2_3,c_ssrs_fu_attemp_2_3_clin
c_ssrs_fu_attemp_3,c_ssrs_fu_attemp_3_clin
c_ssrs_fu_attemp_4,c_ssrs_fu_attemp_4_clin
c_ssrs_fu_attemp_4_2,c_ssrs_fu_attemp_4_2_clin
c_ssrs_fu_attemp_4_3,c_ssrs_fu_attemp_4_3_clin
c_ssrs_fu_attemp_5,c_ssrs_fu_attemp_5_clin
c_ssrs_fu_attemp_5_2,c_ssrs_fu_attemp_5_2_clin
c_ssrs_fu_attemp_5_3,c_ssrs_fu_attemp_5_3_clin
c_ssrs_fu_attemp_6,c_ssrs_fu_attemp_6_clin
c_ssrs_fu_attemp_6_2,c_ssrs_fu_attemp_6_2_clin
c_ssrs_fu_attemp_7,c_ssrs_fu_attemp_7_clin
c_ssrs_fu_attemp_8,c_ssrs_fu_attemp_8_clin
c_ssrs_fu_done,c_ssrs_fu_done_clin
c_ssrs_fu_done_2,c_ssrs_fu_done_2_clin
cssrs_fw_maya_complete,cssrs_fw_maya_complete
cssrs_t_timestamp,cssrs_t_clin_timestamp
c_ssrs_t_time,c_ssrs_t_time_clin
c_ssrs_t_2weeks_1,c_ssrs_t_2weeks_1_clin
c_ssrs_t_2weeks_2,c_ssrs_t_2weeks_2_clin
c_ssrs_t_2weeks_3,c_ssrs_t_2weeks_3_clin
c_ssrs_t_2weeks_4,c_ssrs_t_2weeks_4_clin
c_ssrs_t_2weeks_5,c_ssrs_t_2weeks_5_clin
c_ssrs_t_last_1,c_ssrs_t_last_1_clin
c_ssrs_t_last_2,c_ssrs_t_last_2_clin
c_ssrs_t_last_3,c_ssrs_t_last_3_clin
c_ssrs_t_last_4,c_ssrs_t_last_4_clin
c_ssrs_t_last_5,c_ssrs_t_last_5_clin
c_ssrs_t_life_1,c_ssrs_t_life_1_clin
c_ssrs_t_life_2,c_ssrs_t_life_2_clin
c_ssrs_t_life_3,c_ssrs_t_life_3_clin
c_ssrs_t_life_4,c_ssrs_t_life_4_clin
c_ssrs_t_life_5,c_ssrs_t_life_5_clin
c_ssrs_t_6,c_ssrs_t_6_clin
c_ssrs_t_7,c_ssrs_t_7_clin
c_ssrs_t_8,c_ssrs_t_8_clin
c_ssrs_t_9,c_ssrs_t_9_clin
c_ssrs_t_10,c_ssrs_t_10_clin
c_ssrs_t_11_2weeks,c_ssrs_t_11_2weeks_clin
c_ssrs_t_12_2weeks,c_ssrs_t_12_2weeks_clin
c_ssrs_t_13_2weeks,c_ssrs_t_13_2weeks_clin
c_ssrs_t_14_2weeks,c_ssrs_t_14_2weeks_clin
c_ssrs_t_15_2weeks,c_ssrs_t_15_2weeks_clin
c_ssrs_t_16_2weeks,c_ssrs_t_16_2weeks_clin
suicidal_behavior_last_11,suicidal_behavior_last_11_clin
suicidal_behavior_last_12,suicidal_behavior_last_12_clin
suicidal_behavior_last_13,suicidal_behavior_last_13_clin
suicidal_behavior_last_14,suicidal_behavior_last_14_clin
suicidal_behavior_last_15,suicidal_behavior_last_15_clin
suicidal_behavior_last_16,suicidal_behavior_last_16_clin
c_ssrs_t_11_life,c_ssrs_t_11_life_clin
c_ssrs_t_12_life,c_ssrs_t_12_life_clin
c_ssrs_t_13_life,c_ssrs_t_13_life_clin
c_ssrs_t_14_life,c_ssrs_t_14_life_clin
c_ssrs_t_15_life,c_ssrs_t_15_life_clin
c_ssrs_t_16_life,c_ssrs_t_16_life_clin
cssrs_t_complete,cssrs_t_clin_complete
record_id,record_id
redcap_event_name,redcap_event_name
id,id
